subject,chapter,topic,difficulty,question_type,marks,negative_marks,question,option_a,option_b,option_c,option_d,correct_answer,explanation
Physics (NEET),Electrostatics,Coulomb Law,EASY,SINGLE_CORRECT,4,1,"What is the SI unit of electric flux?","Volt-meter","Newton/Coulomb","Weber","Tesla",A,"Electric flux is the dot product of electric field and area vector. Its SI unit is Volt-meter (V·m) or N·m²/C."
Physics (NEET),Electrostatics,Gauss Law,MEDIUM,SINGLE_CORRECT,4,1,"A point charge q is placed at the centre of a cube of side a. The electric flux through one face of the cube is:","q / (6 * ε₀)","q / ε₀","6q / ε₀","Zero",A,"By Gauss law, total flux through the cube is q/ε₀. Since the cube has 6 symmetrical faces, flux through one face is q / (6ε₀)."
Physics (NEET),Electrostatics,Capacitance,HARD,SINGLE_CORRECT,4,1,"Two capacitors of capacitances 3µF and 6µF are connected in series across a 12V supply. What is the charge on each capacitor?","24 µC","12 µC","36 µC","72 µC",A,"Equivalent capacitance C_eq = (3 * 6)/(3 + 6) = 2 µF. In series, charge Q = C_eq * V = 2 µF * 12V = 24 µC."
Physics (NEET),Current Electricity,Ohm's Law,EASY,SINGLE_CORRECT,4,1,"If the length of a copper wire is stretched to double its original length keeping volume constant, its resistance becomes:","4 times","2 times","Half","8 times",A,"Resistance R = ρ * (L/A). When stretched to 2L, area becomes A/2. New resistance R' = ρ * (2L)/(A/2) = 4R."
Physics (NEET),Current Electricity,Kirchhoff's Laws,MEDIUM,SINGLE_CORRECT,4,1,"Kirchhoff's first law (Junction rule) is based on the conservation of:","Electric charge","Energy","Linear momentum","Angular momentum",A,"Kirchhoff's junction rule states that the algebraic sum of currents entering a node is zero, which is a consequence of conservation of charge."
Physics (NEET),Current Electricity,Potentiometer,HARD,SINGLE_CORRECT,4,1,"A potentiometer wire has length 4m and resistance 8Ω. A resistance box of 12Ω is connected in series with a 2V accumulator. What is the potential gradient along the wire?","0.2 V/m","0.8 V/m","0.05 V/m","1.0 V/m",A,"Total circuit resistance = 8 + 12 = 20Ω. Current I = 2V / 20Ω = 0.1A. Potential drop across wire = 0.1A * 8Ω = 0.8V. Potential gradient = 0.8V / 4m = 0.2 V/m."
Chemistry (NEET),Chemical Bonding,Hybridization,EASY,SINGLE_CORRECT,4,1,"What is the shape and hybridization of the methane (CH₄) molecule?","Tetrahedral, sp³","Trigonal planar, sp²","Linear, sp","Octahedral, sp³d²",A,"Carbon in CH₄ has 4 bond pairs and 0 lone pairs, giving steric number 4, which corresponds to sp³ hybridization and a regular tetrahedral geometry."
Chemistry (NEET),Chemical Bonding,VSEPR Theory,MEDIUM,SINGLE_CORRECT,4,1,"Which of the following molecules has a bent / V-shaped molecular geometry?","H₂O","CO₂","BF₃","PCl₅",A,"Water (H₂O) has 2 bond pairs and 2 lone pairs on oxygen, causing repulsion and resulting in a bent geometry with bond angle approx 104.5°."
Chemistry (NEET),Chemical Bonding,Dipole Moment,HARD,SINGLE_CORRECT,4,1,"Which of the following molecules has a net dipole moment of zero despite having polar bonds?","Carbon tetrachloride (CCl₄)","Water (H₂O)","Ammonia (NH₃)","Sulfur dioxide (SO₂)",A,"CCl₄ has a symmetrical tetrahedral geometry where the individual C-Cl dipole vectors cancel each other out completely, giving net dipole moment μ = 0."
Chemistry (NEET),Thermodynamics,Enthalpy & Entropy,EASY,SINGLE_CORRECT,4,1,"For an isolated system, the change in internal energy (ΔU) during any spontaneous process is:","Zero","Positive","Negative","Infinite",A,"For an isolated system, there is no heat exchange (q = 0) and no work done (w = 0). By the First Law of Thermodynamics, ΔU = q + w = 0."
Chemistry (NEET),Thermodynamics,Gibbs Free Energy,MEDIUM,SINGLE_CORRECT,4,1,"A chemical reaction is spontaneous at all temperatures if:","ΔH < 0 and ΔS > 0","ΔH > 0 and ΔS < 0","ΔH > 0 and ΔS > 0","ΔH < 0 and ΔS < 0",A,"According to ΔG = ΔH - TΔS, when ΔH is negative (exothermic) and ΔS is positive (entropy increases), ΔG is always negative regardless of temperature."
Chemistry (NEET),Thermodynamics,Hess's Law,HARD,SINGLE_CORRECT,4,1,"Standard enthalpy of formation of all elements in their standard states is conventionally taken as:","Zero","Positive","Negative","100 kJ/mol",A,"By convention, the standard enthalpy of formation (ΔfH°) of any chemical element in its most stable reference state at 298.15 K and 1 bar is defined as zero."
